comparison,treatment,control,outcome,outcome_type,control_n,treatment_n,control_mean,treatment_mean,ate,relative_lift,standard_error,ci_low,ci_high,test_statistic,degrees_of_freedom,p_value,bootstrap_ci_low,bootstrap_ci_high,p_value_holm,significant_raw,significant_holm
mens_email_vs_control,mens_email,control,visit,binary,21306,21307,0.10616727682343002,0.18275684047496127,0.07658956365153125,0.721404616781399,0.0033858083545245127,0.06995350121810838,0.08322562608495411,22.48604082719282,,5.685165482802317e-112,,,3.41109928968139e-111,True,True
mens_email_vs_control,mens_email,control,conversion,binary,21306,21307,0.005726086548390125,0.01253109306800582,0.006805006519615695,1.188421876286328,0.000920851175531638,0.005000171380452313,0.008609841658779076,7.385114410925771,,1.5232235005955427e-13,,,6.092894002382171e-13,True,True
mens_email_vs_control,mens_email,control,spend,continuous,21306,21307,0.6527893551112364,1.422616511005773,0.7698271558945365,1.1792887703620056,0.14524656024868676,0.48513973256840737,1.0545145792206658,5.300140358411667,36671.15797736051,1.1638149682254938e-07,0.48770873129347825,1.0553771493751192,3.4914449046764816e-07,True,True
womens_email_vs_control,womens_email,control,visit,binary,21306,21387,0.10616727682343002,0.151400383410483,0.045233106587052985,0.4260550702669102,0.0032343863583279126,0.03889382581264261,0.05157238736146336,13.949180655258505,,3.1824031593349214e-44,,,1.5912015796674606e-43,True,True
womens_email_vs_control,womens_email,control,conversion,binary,21306,21387,0.005726086548390125,0.008837144059475383,0.003111057511085258,0.5433130436982172,0.0008226578153482761,0.0014986778214022348,0.004723437200768281,3.77956095835785,,0.00015710512910668448,,,0.00031421025821336897,True,True
womens_email_vs_control,womens_email,control,spend,continuous,21306,21387,0.6527893551112364,1.0772015710478329,0.4244122159365965,0.6501518638646857,0.13033285852919116,0.16895678988377855,0.6798676419894145,3.2563715760253906,40064.88440653066,0.0011293971023632547,0.16506643681946784,0.6823408835402014,0.0011293971023632547,True,True
